Year,CPI Value
1969,0.78
1970,0.87
1971,0.91
1972,0.97
1973,1.27
1974,1.78
1975,2.13
1976,2.55
1977,2.83
1978,3.06
1979,3.56
1980,4.2
1981,4.71
1982,5.16
1983,5.77
1984,6.37
1985,6.67
1986,7.06
1987,7.71
1988,8.34
1989,8.87
1990,9.56
1991,10.46
1992,11.25
1993,12.34
1994,13.39
1995,14.65
1996,15.82
1997,16.81
1998,26.63
1999,32.09
2000,33.27
2001,37.1
2002,41.51
2003,44.32
2004,47
2005,51.92
2006,58.72
2007,62.48
2008,68.87
2009,71.89
2010,75.59
2011,79.63
2012,83.04
2013,88.37
2014,94.02
2015,100
2016,103.53
2017,107.47
2018,110.91
2019,114.27
2020,116.46
2021,118.28
2022,123.26
