Year,CPI Value
1958,4.42
1959,4.59
1960,4.62
1961,4.71
1962,4.83
1963,4.93
1964,5.1
1965,5.27
1966,5.42
1967,5.75
1968,6
1969,6.29
1970,6.7
1971,7.4
1972,7.91
1973,8.56
1974,9.51
1975,10.9
1976,12.74
1977,14.58
1978,16.32
1979,18.56
1980,21.74
1981,25.08
1982,29.13
1983,31.27
1984,33.2
1985,38.32
1986,43.39
1987,50.22
1988,53.42
1989,56.47
1990,59.92
1991,61.48
1992,62.1
1993,62.9
1994,64
1995,66.4
1996,67.92
1997,68.72
1998,69.59
1999,69.51
2000,71.33
2001,73.21
2002,75.16
2003,76.48
2004,78.23
2005,80.61
2006,83.32
2007,85.3
2008,88.68
2009,90.56
2010,92.64
2011,96.37
2012,97.39
2013,98.5
2014,99.71
2015,100
2016,100.65
2017,102.51
2018,104.15
2019,105.83
2020,107.65
2021,111.89
2022,119.92
