Year,CPI Value
1958,8.1
1959,8.28
1960,8.31
1961,8.49
1962,8.94
1963,9.16
1964,9.7
1965,10.11
1966,10.43
1967,10.91
1968,11.29
1969,11.62
1970,12.86
1971,13.66
1972,14.65
1973,15.74
1974,17.22
1975,19.23
1976,20.99
1977,22.9
1978,24.77
1979,25.89
1980,28.71
1981,32.63
1982,36.33
1983,39.4
1984,41.85
1985,44.24
1986,47.42
1987,51.55
1988,54.99
1989,57.49
1990,59.87
1991,61.93
1992,63.37
1993,64.82
1994,65.71
1995,67.33
1996,68.18
1997,69.93
1998,71.5
1999,73.19
2000,75.45
2001,77.72
2002,78.72
2003,80.68
2004,81.04
2005,82.28
2006,84.2
2007,84.8
2008,87.98
2009,89.92
2010,92.09
2011,93.28
2012,93.93
2013,95.92
2014,97.88
2015,100
2016,103.55
2017,105.49
2018,108.41
2019,110.76
2020,112.18
2021,116.09
2022,122.78
