Year,CPI Value
1958,6.71
1959,6.85
1960,7.1
1961,7.27
1962,7.24
1963,7.29
1964,7.5
1965,7.75
1966,8.01
1967,8.29
1968,8.5
1969,8.78
1970,9.08
1971,9.64
1972,10.22
1973,11.14
1974,12.86
1975,14.81
1976,16.79
1977,18.85
1978,20.36
1979,22.22
1980,24.47
1981,26.79
1982,29.84
1983,32.83
1984,34.13
1985,36.43
1986,39.73
1987,43.12
1988,46.23
1989,49.71
1990,53.36
1991,55.05
1992,55.61
1993,56.58
1994,57.7
1995,60.37
1996,61.95
1997,62.08
1998,62.62
1999,63.55
2000,66.38
2001,69.31
2002,71.37
2003,73.32
2004,75.04
2005,77.06
2006,79.8
2007,81.66
2008,85.21
2009,86.72
2010,89.25
2011,92.2
2012,93.82
2013,96.12
2014,98.51
2015,100
2016,101.28
2017,103.25
2018,105.22
2019,106.92
2020,107.82
2021,110.91
2022,118.23
