Year,CPI Value
1971,0.001
1972,0.002
1973,0.01
1974,0.06
1975,0.26
1976,0.82
1977,1.58
1978,2.21
1979,2.95
1980,3.99
1981,4.77
1982,5.24
1983,6.67
1984,8
1985,10.45
1986,12.49
1987,14.97
1988,17.17
1989,20.1
1990,25.33
1991,30.85
1992,35.61
1993,40.14
1994,44.73
1995,48.42
1996,51.98
1997,55.17
1998,57.99
1999,59.92
2000,62.22
2001,64.44
2002,66.05
2003,67.9
2004,68.62
2005,70.72
2006,73.11
2007,76.34
2008,82.99
2009,83.28
2010,84.46
2011,87.28
2012,89.91
2013,91.51
2014,95.83
2015,100
2016,103.79
2017,106.05
2018,108.63
2019,111.41
2020,114.81
2021,120
2022,133.97
