Year,CPI Value
1977,0.53
1978,0.56
1979,0.61
1980,0.72
1981,0.99
1982,1.88
1983,2.5
1984,2.79
1985,3.22
1986,3.6
1987,4.2
1988,5.08
1989,5.91
1990,7.04
1991,9.06
1992,11.04
1993,12.12
1994,13.76
1995,16.94
1996,19.91
1997,22.55
1998,25.18
1999,27.71
2000,30.75
2001,34.21
2002,37.34
2003,40.87
2004,45.9
2005,52.24
2006,58.23
2007,63.68
2008,72.23
2009,77.89
2010,82.3
2011,86.32
2012,90.2
2013,94.92
2014,99.2
2015,100
2016,99.98
2017,101.61
2018,103.87
2019,106.04
2020,106.81
2021,108.65
