Year,CPI Value
1958,14.14
1959,14.31
1960,14.36
1961,14.5
1962,14.7
1963,15.02
1964,15.65
1965,16.28
1966,16.96
1967,17.42
1968,17.89
1969,18.57
1970,19.29
1971,20.13
1972,21.23
1973,22.7
1974,25.58
1975,28.85
1976,31.46
1977,33.7
1978,35.2
1979,36.78
1980,39.22
1981,42.21
1982,45.9
1983,49.41
1984,52.55
1985,55.11
1986,55.82
1987,56.69
1988,57.34
1989,59.13
1990,61.16
1991,63.13
1992,64.66
1993,66.44
1994,68.02
1995,69.02
1996,70.46
1997,71.6
1998,72.28
1999,73.09
2000,74.95
2001,76.8
2002,78.07
2003,79.31
2004,80.97
2005,83.22
2006,84.71
2007,86.26
2008,90.13
2009,90.08
2010,92.06
2011,95.31
2012,98.01
2013,99.1
2014,99.44
2015,100
2016,101.97
2017,104.14
2018,106.28
2019,107.81
2020,108.61
2021,111.26
2022,121.93
