Year,CPI Value
1958,1.07
1959,1.1
1960,1.11
1961,1.14
1962,1.13
1963,1.17
1964,1.17
1965,1.21
1966,1.27
1967,1.29
1968,1.3
1969,1.33
1970,1.37
1971,1.41
1972,1.47
1973,1.7
1974,2.15
1975,2.45
1976,2.77
1977,3.11
1978,3.5
1979,4.17
1980,5.19
1981,6.47
1982,7.83
1983,9.4
1984,11.14
1985,13.29
1986,16.35
1987,19.03
1988,21.61
1989,24.56
1990,29.58
1991,35.33
1992,40.94
1993,46.84
1994,51.93
1995,56.57
1996,61.21
1997,64.6
1998,67.68
1999,69.46
2000,71.65
2001,74.07
2002,76.75
2003,79.46
2004,81.77
2005,84.67
2006,87.37
2007,89.9
2008,93.64
2009,94.77
2010,99.23
2011,102.54
2012,104.08
2013,103.12
2014,101.77
2015,100
2016,99.17
2017,100.29
2018,100.91
2019,101.17
2020,99.91
2021,101.13
2022,110.88
