Year,CPI Value
1958,3.79
1959,3.77
1960,3.86
1961,3.94
1962,4.12
1963,4.43
1964,4.69
1965,4.9
1966,5.02
1967,5.2
1968,5.27
1969,5.41
1970,5.68
1971,5.95
1972,6.29
1973,6.97
1974,8.31
1975,9.72
1976,11.33
1977,13.27
1978,14.88
1979,17.08
1980,20.68
1981,24.4
1982,28.42
1983,32.58
1984,36.1
1985,39.42
1986,41.71
1987,43.69
1988,45.9
1989,48.78
1990,51.93
1991,55.17
1992,58.08
1993,60.77
1994,63.23
1995,66.54
1996,69.21
1997,70.62
1998,72
1999,73.2
2000,75.06
2001,77.15
2002,79.05
2003,81.16
2004,82.95
2005,84.6
2006,86.37
2007,87.95
2008,90.89
2009,91.6
2010,93
2011,95.58
2012,98.49
2013,99.69
2014,99.93
2015,99.97
2016,99.88
2017,101.1
2018,102.25
2019,102.88
2020,102.73
2021,104.66
2022,113.24
