Year,CPI Value
1958,2.47
1959,2.65
1960,2.68
1961,2.71
1962,2.86
1963,3.11
1964,3.33
1965,3.77
1966,4
1967,4.26
1968,4.47
1969,4.57
1970,4.83
1971,5.22
1972,5.66
1973,6.3
1974,7.29
1975,8.53
1976,10.03
1977,12.49
1978,14.96
1979,17.3
1980,20
1981,22.91
1982,26.21
1983,29.4
1984,32.71
1985,35.6
1986,38.73
1987,40.76
1988,42.73
1989,45.64
1990,48.7
1991,51.59
1992,54.65
1993,57.15
1994,59.84
1995,62.64
1996,64.87
1997,66.15
1998,67.36
1999,68.92
2000,71.28
2001,73.84
2002,76.11
2003,78.42
2004,80.8
2005,83.52
2006,86.46
2007,88.87
2008,92.49
2009,92.23
2010,93.89
2011,96.89
2012,99.26
2013,100.66
2014,100.5
2015,100
2016,99.8
2017,101.75
2018,103.45
2019,104.18
2020,103.84
2021,107.05
2022,116.04
