Year,CPI Value
1958,0.03
1959,0.03
1960,0.04
1961,0.04
1962,0.04
1963,0.05
1964,0.06
1965,0.06
1966,0.07
1967,0.07
1968,0.08
1969,0.09
1970,0.11
1971,0.11
1972,0.13
1973,0.15
1974,0.22
1975,0.33
1976,0.43
1977,0.56
1978,0.81
1979,1.16
1980,1.85
1981,2.8
1982,4.21
1983,7.75
1984,10.14
1985,13.38
1986,16.34
1987,19.33
1988,24.31
1989,29.35
1990,33.9
1991,36.21
1992,37.64
1993,39.16
1994,39.77
1995,40.43
1996,41.34
1997,42.09
1998,42.79
1999,44.17
2000,46.44
2001,49.42
2002,51.99
2003,53.05
2004,54.73
2005,56.91
2006,60.72
2007,63.79
2008,71.88
2009,80.51
2010,84.86
2011,88.25
2012,92.83
2013,96.42
2014,98.39
2015,100
2016,101.7
2017,103.49
2018,106.26
2019,109.47
2020,112.58
2021,117.59
2022,127.36
