Year,CPI Value
1969,0.01
1970,0.01
1971,0.01
1972,0.02
1973,0.02
1974,0.02
1975,0.02
1976,0.03
1977,0.04
1978,0.04
1979,0.05
1980,0.07
1981,0.08
1982,0.13
1983,0.27
1984,0.44
1985,0.7
1986,1.3
1987,3.02
1988,6.48
1989,7.77
1990,9.84
1991,12.07
1992,13.95
1993,15.31
1994,16.37
1995,22.1
1996,29.7
1997,35.83
1998,41.54
1999,48.42
2000,53.02
2001,56.4
2002,59.23
2003,61.93
2004,64.83
2005,67.42
2006,69.86
2007,72.64
2008,76.36
2009,80.4
2010,83.74
2011,86.6
2012,90.16
2013,93.59
2014,97.35
2015,100
2016,102.82
2017,109.03
2018,114.38
2019,118.53
2020,122.56
2021,129.53
2022,139.76
