Year,CPI Value
1958,8.47
1959,8.54
1960,8.89
1961,9.08
1962,9.52
1963,9.79
1964,10.12
1965,10.63
1966,11.31
1967,11.79
1968,12.02
1969,12.35
1970,13.21
1971,14.19
1972,15.04
1973,16.05
1974,17.64
1975,19.37
1976,21.36
1977,23.8
1978,26.18
1979,28.07
1980,31.91
1981,35.77
1982,38.85
1983,42.29
1984,45.7
1985,49.07
1986,51.14
1987,53.29
1988,56.39
1989,60.02
1990,66.25
1991,72.5
1992,74.22
1993,77.73
1994,79.41
1995,81.36
1996,81.79
1997,82.33
1998,82.11
1999,82.49
2000,83.23
2001,85.24
2002,87.08
2003,88.75
2004,89.09
2005,89.49
2006,90.71
2007,92.71
2008,95.9
2009,95.42
2010,96.53
2011,99.39
2012,100.27
2013,100.23
2014,100.05
2015,100
2016,100.98
2017,102.8
2018,104.8
2019,106.67
2020,107.21
2021,109.52
2022,118.69
