Year,CPI Value
1958,0.00003
1959,0.00003
1960,0.00004
1961,0.00004
1962,0.00004
1963,0.00004
1964,0.00004
1965,0.00004
1966,0.00005
1967,0.0001
1968,0.0001
1969,0.0001
1970,0.0001
1971,0.0001
1972,0.0001
1973,0.0001
1974,0.0001
1975,0.0002
1976,0.0002
1977,0.0002
1978,0.0004
1979,0.001
1980,0.001
1981,0.002
1982,0.002
1983,0.003
1984,0.004
1985,0.01
1986,0.01
1987,0.01
1988,0.02
1989,0.03
1990,0.05
1991,0.08
1992,0.14
1993,0.23
1994,0.47
1995,0.89
1996,1.61
1997,2.99
1998,5.52
1999,9.1
2000,14.1
2001,21.77
2002,31.56
2003,38.38
2004,41.68
2005,45.08
2006,49.41
2007,53.74
2008,59.35
2009,63.06
2010,68.46
2011,72.89
2012,79.37
2013,85.32
2014,92.88
2015,100
2016,107.78
2017,119.79
2018,139.35
2019,160.5
2020,180.21
2021,215.52
2022,371.36
