Year,CPI Value
1958,12.18
1959,12.3
1960,12.48
1961,12.61
1962,12.76
1963,12.92
1964,13.09
1965,13.29
1966,13.69
1967,14.07
1968,14.68
1969,15.48
1970,16.38
1971,17.08
1972,17.64
1973,18.73
1974,20.8
1975,22.71
1976,24.01
1977,25.57
1978,27.52
1979,30.62
1980,34.77
1981,38.36
1982,40.71
1983,42.02
1984,43.83
1985,45.38
1986,46.24
1987,47.94
1988,49.89
1989,52.3
1990,55.13
1991,57.46
1992,59.2
1993,60.95
1994,62.54
1995,64.29
1996,66.18
1997,67.72
1998,68.77
1999,70.28
2000,72.65
2001,74.71
2002,75.89
2003,77.61
2004,79.69
2005,82.4
2006,85.05
2007,87.48
2008,90.84
2009,90.52
2010,92
2011,94.9
2012,96.87
2013,98.29
2014,99.88
2015,100
2016,101.26
2017,103.42
2018,105.94
2019,107.86
2020,109.2
2021,114.33
2022,123.47
