Year,CPI Value
1958,11.97
1959,12.11
1960,12.28
1961,12.4
1962,12.54
1963,12.74
1964,12.98
1965,13.29
1966,13.79
1967,14.29
1968,14.87
1969,15.55
1970,16.07
1971,16.5
1972,17.32
1973,18.62
1974,20.67
1975,22.87
1976,24.6
1977,26.56
1978,28.94
1979,31.59
1980,34.79
1981,39.13
1982,43.34
1983,45.88
1984,47.86
1985,49.76
1986,51.84
1987,54.1
1988,56.28
1989,59.09
1990,61.91
1991,65.39
1992,66.37
1993,67.61
1994,67.72
1995,69.17
1996,70.26
1997,71.4
1998,72.11
1999,73.36
2000,75.36
2001,77.26
2002,79
2003,81.18
2004,82.69
2005,84.52
2006,86.21
2007,88.06
2008,90.14
2009,90.41
2010,92.02
2011,94.7
2012,96.14
2013,97.04
2014,98.89
2015,100
2016,101.43
2017,103.05
2018,105.39
2019,107.44
2020,108.21
2021,111.88
2022,119.5
