Year,CPI Value
1959,15.8
1960,16.1
1961,16.67
1962,17.4
1963,17.88
1964,18.57
1965,19.48
1966,19.88
1967,20.67
1968,21.24
1969,21.9
1970,22.86
1971,23.93
1972,25.45
1973,27.37
1974,29.98
1975,32.51
1976,34.89
1977,36.8
1978,38.12
1979,39.53
1980,42.03
1981,44.89
1982,47.33
1983,48.91
1984,51.68
1985,53.33
1986,54.24
1987,55
1988,56.06
1989,57.5
1990,59.37
1991,61.35
1992,63.82
1993,66.14
1994,68.09
1995,69.62
1996,70.91
1997,71.84
1998,72.5
1999,72.92
2000,74.63
2001,76.6
2002,77.99
2003,79.05
2004,80.68
2005,82.53
2006,83.72
2007,85.54
2008,88.29
2009,88.73
2010,90.34
2011,93.31
2012,95.63
2013,97.55
2014,99.11
2015,100
2016,100.89
2017,102.99
2018,105.05
2019,106.66
2020,108.13
2021,111.12
2022,120.62
