Year,CPI Value
1958,7.13
1959,7.23
1960,7.48
1961,7.61
1962,7.94
1963,8.34
1964,9.19
1965,9.65
1966,10.02
1967,10.56
1968,11.53
1969,11.78
1970,12.11
1971,12.89
1972,13.75
1973,15.23
1974,17.81
1975,20.98
1976,23.99
1977,26.82
1978,28.91
1979,31.07
1980,34.67
1981,38.59
1982,42.29
1983,45.83
1984,49.06
1985,51.61
1986,53.13
1987,55.31
1988,58.13
1989,61.96
1990,65.77
1991,68.6
1992,70.61
1993,72.15
1994,72.94
1995,73.51
1996,73.98
1997,74.86
1998,75.91
1999,76.79
2000,79.13
2001,81.17
2002,82.44
2003,83.16
2004,83.32
2005,83.84
2006,85.15
2007,87.29
2008,90.84
2009,90.84
2010,91.92
2011,95.06
2012,97.73
2013,99.17
2014,100.2
2015,100
2016,100.35
2017,101.11
2018,102.2
2019,103.25
2020,103.55
2021,105.82
2022,113.36
