Year,CPI Value
1958,8.97
1959,9.49
1960,9.88
1961,10.12
1962,10.66
1963,11.19
1964,11.55
1965,11.86
1966,12.17
1967,12.51
1968,13.08
1969,13.87
1970,14.61
1971,15.39
1972,16.33
1973,17.53
1974,19.93
1975,22.25
1976,24.4
1977,26.71
1978,29.18
1979,32.29
1980,36.67
1981,41.55
1982,46.53
1983,50.93
1984,54.84
1985,58.04
1986,59.51
1987,61.47
1988,63.13
1989,65.34
1990,67.43
1991,69.59
1992,71.24
1993,72.74
1994,73.94
1995,75.27
1996,76.76
1997,77.69
1998,78.19
1999,78.61
2000,79.93
2001,81.24
2002,82.8
2003,84.54
2004,86.35
2005,87.85
2006,89.33
2007,90.66
2008,93.21
2009,93.29
2010,94.72
2011,96.72
2012,98.61
2013,99.46
2014,99.96
2015,100
2016,100.18
2017,101.22
2018,103.09
2019,104.23
2020,104.73
2021,106.45
2022,112.01
