Year,CPI Value
1958,15.52
1959,15.58
1960,15.65
1961,15.72
1962,15.87
1963,16.32
1964,16.83
1965,17.39
1966,17.97
1967,18.36
1968,18.84
1969,19.27
1970,20.17
1971,21.11
1972,22.21
1973,23.56
1974,25.81
1975,28.57
1976,31.37
1977,33.47
1978,34.51
1979,36.08
1980,38.35
1981,41.45
1982,45.33
1983,49.26
1984,52.43
1985,54.57
1986,54.73
1987,54.7
1988,55.49
1989,57.36
1990,59.22
1991,61.07
1992,63
1993,65.26
1994,66.69
1995,67.94
1996,68.74
1997,69.68
1998,70.35
1999,71.07
2000,73.31
2001,75.26
2002,76.82
2003,78.4
2004,80.14
2005,82.14
2006,84.33
2007,86.28
2008,89.21
2009,89.54
2010,91.58
2011,94.7
2012,97.22
2013,98.91
2014,99.53
2015,100
2016,100.29
2017,102.03
2018,103.59
2019,105.39
2020,106.26
2021,108.94
2022,115.84
