Year,CPI Value
1961,15.63
1962,16.01
1963,16.53
1964,17.49
1965,18.17
1966,19.22
1967,19.88
1968,20.62
1969,22.16
1970,22.97
1971,24.69
1972,26.61
1973,28.75
1974,31.5
1975,34.72
1976,37.79
1977,40.21
1978,41.86
1979,43.62
1980,46.46
1981,49.59
1982,52.52
1983,53.96
1984,55.74
1985,57
1986,57.05
1987,56.65
1988,57.07
1989,57.69
1990,59.11
1991,60.97
1992,62.91
1993,64.54
1994,66.35
1995,67.62
1996,68.94
1997,70.4
1998,71.78
1999,73.32
2000,75.06
2001,78.17
2002,80.74
2003,82.43
2004,83.48
2005,84.88
2006,85.82
2007,87.2
2008,89.37
2009,90.44
2010,91.59
2011,93.73
2012,96.04
2013,98.44
2014,99.4
2015,100
2016,100.32
2017,101.7
2018,103.44
2019,106.16
2020,107.51
2021,110.39
2022,121.43
