Year,CPI Value
1958,5.56
1959,5.6
1960,5.65
1961,5.85
1962,6.09
1963,6.22
1964,6.42
1965,6.73
1966,6.99
1967,7.16
1968,7.5
1969,7.91
1970,8.41
1971,9.21
1972,9.86
1973,10.76
1974,12.49
1975,15.51
1976,18.08
1977,20.95
1978,22.68
1979,25.72
1980,30.35
1981,33.95
1982,36.87
1983,38.57
1984,40.48
1985,42.94
1986,44.41
1987,46.25
1988,48.2
1989,51
1990,55.1
1991,59.2
1992,61.9
1993,63.5
1994,64.9
1995,66.6
1996,68.5
1997,70
1998,71.3
1999,72.6
2000,73.4
2001,74.6
2002,75.7
2003,76.7
2004,77.8
2005,79.4
2006,81.4
2007,83.3
2008,86.2
2009,87.9
2010,90.1
2011,93.6
2012,96
2013,98.2
2014,99.6
2015,100
2016,101
2017,103.6
2018,106
2019,107.8
2020,108.9
2021,111.6
2022,120.5
