Year,CPI Value
1971,0.15
1972,0.17
1973,0.21
1974,0.26
1975,0.32
1976,0.39
1977,0.52
1978,0.61
1979,0.76
1980,0.96
1981,1.22
1982,1.52
1983,1.82
1984,2.11
1985,2.62
1986,3.11
1987,3.84
1988,4.92
1989,6.19
1990,7.99
1991,10.42
1992,13.24
1993,16.21
1994,19.91
1995,24.07
1996,29.08
1997,34.45
1998,40.88
1999,45.33
2000,49.51
2001,53.45
2002,56.85
2003,60.9
2004,64.5
2005,67.75
2006,70.66
2007,74.58
2008,79.8
2009,83.15
2010,85.04
2011,87.95
2012,90.73
2013,92.56
2014,95.25
2015,100
2016,107.51
2017,112.15
2018,115.79
2019,119.87
2020,122.89
2021,127.19
2022,140.13
