Year,CPI Value
1967,11.43
1968,12.34
1969,12.77
1970,13.6
1971,14.4
1972,15.35
1973,16.77
1974,19.34
1975,21.19
1976,23.1
1977,25.63
1978,28.24
1979,30.96
1980,34.77
1981,38.86
1982,42.79
1983,45.75
1984,48.63
1985,50.9
1986,52.77
1987,54.89
1988,57.38
1989,60.12
1990,61.71
1991,63.19
1992,64.51
1993,65.32
1994,66.63
1995,68.01
1996,69.46
1997,70.98
1998,72.29
1999,74.09
2000,76.24
2001,78.03
2002,79.92
2003,81.58
2004,82.52
2005,84.02
2006,85.63
2007,87.08
2008,90.06
2009,91.23
2010,93.34
2011,95.92
2012,98.22
2013,98.99
2014,99.55
2015,100
2016,100.25
2017,101.4
2018,102.23
2019,103
2020,103.43
2021,105.35
2022,113.46
