Year,CPI Value
1958,22.44
1959,22.64
1960,22.99
1961,23.52
1962,24.19
1963,24.9
1964,25.49
1965,26.31
1966,27.24
1967,27.73
1968,28.14
1969,28.68
1970,29.67
1971,31.22
1972,32.93
1973,35.25
1974,37.71
1975,39.94
1976,41.64
1977,43.19
1978,44.37
1979,46.16
1980,48.67
1981,51.76
1982,54.47
1983,56.27
1984,57.62
1985,58.81
1986,58.74
1987,58.88
1988,59.63
1989,61.29
1990,62.94
1991,65.49
1992,68.8
1993,71.88
1994,73.82
1995,75.08
1996,76.17
1997,77.64
1998,78.35
1999,78.81
2000,79.94
2001,81.53
2002,82.69
2003,83.54
2004,84.93
2005,86.25
2006,87.61
2007,89.62
2008,91.98
2009,92.27
2010,93.28
2011,95.22
2012,97.13
2013,98.59
2014,99.49
2015,100
2016,100.49
2017,102.01
2018,103.78
2019,105.28
2020,105.43
2021,108.66
2022,116.13
