Year,CPI Value
1976,16.96
1977,19.24
1978,20.72
1979,23.48
1980,27.74
1981,33.4
1982,39.12
1983,43.21
1984,46.95
1985,49.48
1986,51.37
1987,53
1988,54.13
1989,56.34
1990,58.21
1991,60.08
1992,61.92
1993,62.83
1994,64.28
1995,65.91
1996,67.06
1997,68.09
1998,69.73
1999,70.87
2000,74.83
2001,78.48
2002,82.1
2003,84.97
2004,86.83
2005,88.94
2006,92.44
2007,96.97
2008,100.91
2009,96.39
2010,95.5
2011,97.94
2012,99.6
2013,100.11
2014,100.29
2015,100
2016,100.01
2017,100.35
2018,100.84
2019,101.79
2020,101.45
2021,103.84
2022,111.94
