Year,CPI Value
1958,1.06
1959,1.07
1960,1.1
1961,1.12
1962,1.15
1963,1.18
1964,1.22
1965,1.26
1966,1.32
1967,1.39
1968,1.48
1969,1.61
1970,1.71
1971,1.92
1972,2.12
1973,2.39
1974,3
1975,3.45
1976,4.18
1977,5.48
1978,6.63
1979,8.09
1980,9.37
1981,11.15
1982,13.57
1983,16.83
1984,21.6
1985,25.81
1986,28.99
1987,31.78
1988,34.99
1989,39.43
1990,44.81
1991,50.12
1992,54.91
1993,58.63
1994,61.81
1995,64.42
1996,66.4
1997,67.95
1998,69.7
1999,71.33
2000,73.37
2001,76.57
2002,79.33
2003,81.88
2004,83.82
2005,85.73
2006,88.39
2007,90.56
2008,92.9
2009,92.13
2010,93.42
2011,96.83
2012,99.52
2013,99.79
2014,99.51
2015,100
2016,100.61
2017,101.98
2018,103
2019,103.35
2020,103.33
2021,104.64
2022,112.84
