Year,CPI Value
1958,24.3
1959,24.14
1960,24.49
1961,24.94
1962,26.02
1963,26.91
1964,27.74
1965,28.69
1966,30.06
1967,31.26
1968,32.01
1969,32.81
1970,33.99
1971,36.23
1972,38.64
1973,42.03
1974,46.13
1975,49.22
1976,50.06
1977,50.71
1978,51.23
1979,53.1
1980,55.24
1981,58.82
1982,62.15
1983,63.98
1984,65.86
1985,68.12
1986,68.63
1987,69.62
1988,70.93
1989,73.16
1990,77.12
1991,81.64
1992,84.93
1993,87.73
1994,88.48
1995,90.07
1996,90.8
1997,91.27
1998,91.29
1999,92.02
2000,93.46
2001,94.38
2002,94.99
2003,95.6
2004,96.36
2005,97.49
2006,98.53
2007,99.25
2008,101.65
2009,101.17
2010,101.86
2011,102.1
2012,101.39
2013,101.17
2014,101.16
2015,100
2016,99.57
2017,100.1
2018,101.03
2019,101.4
2020,100.66
2021,101.25
2022,104.12
