Year,CPI Value
1981,3.13
1982,3.34
1983,3.59
1984,3.89
1985,4.16
1986,4.38
1987,4.76
1988,5.51
1989,6.45
1990,8.29
1991,11.17
1992,13.81
1993,16.92
1994,20.11
1995,25.8
1996,31.86
1997,37.69
1998,43.02
1999,47.32
2000,51.96
2001,56.7
2002,59.68
2003,62.47
2004,66.68
2005,69.05
2006,71.77
2007,77.48
2008,82.16
2009,85.62
2010,89.78
2011,93.31
2012,98.58
2013,100.29
2014,100.06
2015,100
2016,100.39
2017,102.75
2018,105.68
2019,109.21
2020,112.84
2021,118.61
2022,135.94
