Year,CPI Value
1958,1.6
1959,1.67
1960,1.7
1961,1.73
1962,1.79
1963,1.85
1964,2.09
1965,2.29
1966,2.54
1967,2.87
1968,2.96
1969,2.94
1970,3.09
1971,3.19
1972,3.39
1973,3.97
1974,5.11
1975,5.4
1976,4.99
1977,5.4
1978,5.54
1979,5.88
1980,6.55
1981,7.41
1982,8
1983,8.95
1984,9.69
1985,10.23
1986,11.12
1987,12.1
1988,13.24
1989,14.17
1990,15.44
1991,17.59
1992,19.66
1993,20.9
1994,23.04
1995,25.4
1996,27.68
1997,29.66
1998,33.59
1999,35.16
2000,36.57
2001,37.95
2002,39.58
2003,41.09
2004,42.63
2005,44.44
2006,47.02
2007,50.02
2008,54.19
2009,60.09
2010,67.29
2011,73.25
2012,80.08
2013,88.81
2014,94.45
2015,100
2016,104.94
2017,107.56
2018,112.78
2019,121.42
2020,128.17
2021,134.44
2022,142.37
