Year,CPI Value
1958,17.52
1959,17.71
1960,18.34
1961,19.32
1962,20.65
1963,22.03
1964,22.87
1965,24.39
1966,25.62
1967,26.64
1968,28.06
1969,29.54
1970,31.53
1971,33.55
1972,35.17
1973,39.26
1974,48.37
1975,54.04
1976,59.12
1977,63.93
1978,66.62
1979,69.1
1980,74.47
1981,78.15
1982,80.29
1983,81.8
1984,83.64
1985,85.35
1986,85.87
1987,85.98
1988,86.54
1989,88.52
1990,91.24
1991,94.22
1992,95.85
1993,97.06
1994,97.73
1995,97.64
1996,97.78
1997,99.44
1998,100.08
1999,99.74
2000,99.05
2001,98.36
2002,97.48
2003,97.23
2004,97.22
2005,96.94
2006,97.18
2007,97.23
2008,98.57
2009,97.25
2010,96.53
2011,96.27
2012,96.22
2013,96.55
2014,99.21
2015,100
2016,99.87
2017,100.36
2018,101.35
2019,101.82
2020,101.8
2021,101.56
