Year,CPI Value
1958,1.21
1959,1.25
1960,1.34
1961,1.46
1962,1.55
1963,1.87
1964,2.42
1965,2.75
1966,3.06
1967,3.4
1968,3.76
1969,4.23
1970,4.9
1971,5.56
1972,6.21
1973,6.41
1974,7.97
1975,9.99
1976,11.52
1977,12.68
1978,14.51
1979,17.17
1980,22.1
1981,26.82
1982,28.75
1983,29.73
1984,30.41
1985,31.16
1986,32.01
1987,32.99
1988,35.35
1989,37.36
1990,40.56
1991,44.35
1992,47.11
1993,49.37
1994,52.46
1995,54.81
1996,57.51
1997,60.06
1998,64.58
1999,65.1
2000,66.57
2001,69.28
2002,71.19
2003,73.7
2004,76.34
2005,78.44
2006,80.2
2007,82.24
2008,86.08
2009,88.45
2010,91.05
2011,94.72
2012,96.79
2013,98.05
2014,99.3
2015,100
2016,100.97
2017,102.93
2018,104.45
2019,104.85
2020,105.42
2021,108.05
2022,113.55
